Radionuclide,Max_Energy_MeV,Emission_Type,Half_Life,Time_Unit,Medical_Purpose,Max_Energy_MeV
Pt-190,3.18056,alpha,6.50E+11,y,Non-Medical,3.18056
Ni-57,3.17728,gamma,35.6,h,Non-Medical,3.17728
Tl-198,3.1646,gamma,5.3,h,Non-Medical,3.1646
Au-192,3.158,gamma,4.94,h,Non-Medical,3.158
Te-115m,3.1576,b-spectra,6.7,m,Non-Medical,3.1576
Sm-141,3.1491,b-spectra,10.2,m,Non-Medical,3.1491
Br-82m,3.13855,b-spectra,6.13,m,Non-Medical,3.13855
I-120m,3.1368,b-spectra,53,m,Non-Medical,3.1368
Ru-92,3.133,gamma,3.65,m,Non-Medical,3.133
Ir-186,3.1322,gamma,16.64,h,Non-Medical,3.1322
Y-85m,3.13,gamma,4.86,h,Non-Medical,3.13
Ga-65,3.1143,gamma,15.2,m,Non-Medical,3.1143
Nb-90,3.114,gamma,14.6,h,Non-Medical,3.114
Co-55,3.1083,gamma,17.53,h,Non-Medical,3.1083
Zn-63,3.1007,gamma,38.47,m,Non-Medical,3.1007
Sm-141m,3.1004,b-spectra,22.6,m,Non-Medical,3.1004
Ag-115,3.1,b-spectra,20,m,Non-Medical,3.1
